"Sublogins","Unterkonten"
"My Sublogins","Meine Unterkonten"
"Add","Hinzufügen"
"Customer Id","Kunden Nr."
"Email ""%s"" already exists","E-Mail ""%s"" existiert bereits"
"Your password reset link has expired.","Ihr Passwort-Zurücksetzen-Link ist abgelaufen."
"Your account is deactivated. You have received an email to reactivate the account.","Ihr Benutzerkonto ist deaktiviert. Sie haben eine E-Mail erhalten, um Ihren Benutzerkonto zu reaktivieren."
"Store Id","StoreView"
"eMail","E-Mail"
"Send Mail","Mailversand"
"Create new sublogin","Unterkonto erstellen"
"Firstname","Vorname"
"Lastname","Nachname"
"Days to Expire","Auslaufzeit"
"Date to Expire","Auslaufdatum"
"Customer Email","E-Mail"
"Sublogin Customer Id","Unterkonto Kundennummer"
"Sublogin Email","Unterkonto E-Mail"
"Edit Customer","Kunde bearbeiten"
"Further Logins","Weitere Logins"
"Mail","E-Mail Adresse"
"Expire Date","Auslaufdatum"
"Expire interval","Auslauf Interval"
"Restriction My Sublogin area","Restriktion des Menüpunkts Meine Unterkonten im Frontend"
"If activated, a sublogin can not see the customer area my sublogins","Wenn aktiviert, kann ein Unterkonto nicht den Menüpunkt Meine Unterkonten im Frontend sehen"
"Restrict order view for sublogins","Restriktion der Bestellungen für Unterkonten"
"If activated, a sublogin can only see his own orders in customer area.","Wenn aktiviert, kann ein Unterkonto nur seine eigenen Bestellungen sehen."
"If an account will be reactivated, type in here how long (in days) the accounts will be active again","Geben Sie hier ein, für wieviel Tage das Konto erneut aktiviert werden soll nach Reaktivierung"
"Email settings","E-Mail Einstellungen"
"Send form (email)","Absender (E-Mail)"
"Send from (name)","Absender (Name)"
"BCC Receiver for emails","Blindkopie Empfänger für E-Mails"
"Edit sublogin inside grid","Einfache Bearbeitung von Unterkonten im Backend"
"If you have over 100 sublogins per customer you should disable this option else not everything might be saved (too much data).","Wenn Sie mehr als 100 Unterkonten haben, so sollten Sie diese Option deaktivieren, da ansonsten ggf. nicht alle Daten gespeichert werden."
"If you need more than one bcc receiver, just split them with ";"","Wenn Sie mehr als einen BCC Empfänger benötigen, bitte mit ";" trennen"
"Type in the email address which the email should come from.","Bitte geben Sie die E-Mail Adresse des Absenders ein."
"Type in the name (e.g. of your company) which the email should come from.","Bitte geben Sie den Absender ein, z.B. Ihre Firma."
"No sublogins created for your account yet. Just click on create new sublogin to create a new one.","Es sind keine Unterkonten für Ihr Benutzerkonto erstellt. Klicken Sie auf neues Unterkonto erstellen um einen neues Unterkonto zu definieren."
"Subscribe for Newsletter","Für Newsletter anmelden"
"Can create sublogins","Kann Sublogins erstellen"
"Is subscribed","Für Newsletter angemeldet"
"Sublogins Configuration","Unterkonten Konfiguration"
"Sublogins","Unterkonten"
"Can create sublogins","Kann Unterkonten erstellen"
"If allowed, customer can create sublogins in frontend area","Wenn aktiviert, kann der Kunde selbst Unterkonten im Frontend erstellen."
"Max. number of sublogins","Max. Anzahl von Unterkonten"
"Configure the max. amount of sublogins the customer can create. 0 is unlimited.","Max. Anzahl von Unterkonten definieren. 0 bedeutet unendlich."
"Manage Sublogins","Unterkonten verwalten"
"Edit sublogin %s for customer %s","Unterkonto %s für Kunde %s ändern"
"Add new sublogin for customer %s","Neues Unterkonto für Kunde %s erstellen"
"Edit Sublogin","Unterkonto bearbeiten"
"Delete Sublogin","Unterkonto löschen"
"Only type in password if you need to change. Otherwise the password will not be set.","Bitte geben Sie das Passwort nur ein, wenn es geändert werden soll. Ansonsten bleibt das alte Passwort gültig."
"Import Sublogins","Unterkonten importieren"
"Add Sublogin","Unterkonto hinzufügen"
"Sublogin Configuration","Unterkonto Konfiguration"
"Add new Sublogin","Neues Unterkonto hinzufügen"
"If allowed, customer can create sublogins in frontend area","Wenn aktiviert kann der Kunde Unterkonten im Frontend selbst erstellen."
"Prefix","Präfix"
"Addresses","Adressen"
"Sublogin","Unterkonto"
"Order Approval Required","Bestellbestätigung erforderlich"
"Send order email also to main account","Bestellemail auch an den Hauptbenutzer schicken"
"If activated, the order email made by a sublogin will be also sent to the main account holder.","Schickt die Bestellbestätigungsemail auch an den Hauptbenutzer, wenn ein Unterkonto eine Bestellung auslöst"
"Order is approved.","Bestellung wurde bestätigt."
"OrderID not found","Bestellnummer nicht gefunden"
"Order is declined","Bestellung wurde abgelehnt."
"Order needs approval","Bestellbestätigung notwendig"
"Approve Order","Bestellung bestätigung"
"Decline Order","Bestellung ablehnen"
"Form fields","Formularfelder"
"Delete not approved orders","Nicht bestätigte Bestellungen können gelöscht werden"
"If activated, main login can delete not approved orders of their sublogin.","Wenn aktiviert, kann der Hauptkontobenutzer die nicht bestätigten Bestellungen Ihrer Unterkonten löschen"
"Order Approval Cart Page Notice","Bestellannahme Notiz auf der Warenkorbseite"
"Save sublogin address","Unterkonto-Adresse speichern"
"Enable mainaccount login","Hauptbenutzer-Login aktivieren"
"If activated, a mainaccount can directly login to a sublogin without having their password.","Wenn aktiviert, kann ein Hauptbenutzer sich direkt als Unterkonto anmelden (ohne Passwort)"
"Budget settings","Budgeteinstellungen"
"Should mainaccount to be able to set budgets for their sublogins in frontend?","Sollte ein Hauptbenutzer die Budgets für seine Unterkonten im Frontend verwalten können?"
"If you need more than one bcc receiver, just split them with "";""","Wenn mehr als ein Blindkopieempfänger benötigt wird, bitte mit "";"" trennen"
"Email template new sublogin","E-Mail Template neues Unterkonto"
"Email template new password","E-Mail Template neues Passwort"
"Email template expired account refreshing","E-Mail Template ausgelaufenes Konto reaktivieren"
"Email template Main login order alert","E-Mail Template Hauptbenutzer Bestellinformation Unterkonto"
"Email template Order Require Approval","E-Mail Template Bestellannahme erforderlich"
"Email template Order Declined","E-Mail Template Bestellannahme abgelehnt"
"Separate multiple entries by comma. Example: acl_identifier1,acl_identifier2","Seperate Einträge pro Komma. Zum Beispiel acl_identifier1,acl_identifier2"
"If set to no then sublogin address will not be saved in mainlogin's address book. If set to yes then default Magento process will be done.","Wenn auf Nein gestellt wird die Adresse nicht in das Adressbuch des Hauptbenutzers übertragen. Andernfalls wird der Standardprozess von Magento genutzt."
"General settings","Allgemeine Einstellungen"
"If set to yes then sublogin orders needs to be approved by its main account otherwise orders will be approved automatically.","Wenn aktiviert müssen Bestellungen vom Hauptbenutzer freigegeben werden. Andernfalls werden Bestellungen automatisch freigegeben."
"Selected fields will be displayed in sublogin create form at frontend","Bitte wählen Sie die Felder aus für die Maske Unterkonto erstellen im Frontend"
"Selected fields will be displayed in sublogin create form at admin","Bitte wählen Sie die Felder aus für die Maske Unterkonto erstellen im Backend"
"Format: 2015-05-31 (Year-Month-Date)","Format: 2015-05-31 (Jahr-Monat-Tag)"
"Days to Expire + Date to Expire","Auslaufdatum"
"Default values for form fields","Standardwerte für Formularfelder"
"Leave blank if don't want to show notice.","Bitte leerlassen wenn keine Notiz angezeigt werden soll."
"If an account will be reactivated, type in here how long (in days) the accounts will be active again. Specify 0 if you don't want to deactivate account. But 0 will work only when expire_date is not specified while creating/updating sublogin. Otherwise specified date will be considered as expired date.","Wenn ein Konto reaktiviert wird können Sie hier bestimmen (in Tagen) wann die Reaktivierung ausgeführt werden muss. Die Einstellung 0 können Sie nutzen um das Feature zu deaktivieren. Aber 0 funktioniert nur, wenn Sie das Feld Auslaufdatum beim Erstellen und Updaten von Unterkonten leerlassen. Andernfalls wird das spezifizierte Datum als Auslaufdatum herangezogen."
"Per Order Limit","Limit pro Bestellung"
"Manage Budget","Budget verwalten"
"Manage ACL","Berechtigungen verwalten"
"Sublogin Budget","Unterkonto Budget"
"Add budget","Budget hinzufügen"
"Add new budget","Neues Budget hinzufügen"
"Budget Type","Budget Typ"
"Same configuration already exist for this sublogin: Year: "%s", Month: "%s" and Day: "%s"","Die selbe Konfiguration existiert für das Unterkonto bereits: Jahr "%s" - Monat "%s" - Tag: "%s""
"You are not allowed to place order which has total greater than %s","Sie können keine Bestellung aufgeben mit einer Gesamtsumme größer als %s"
"You can not proceed as your purchase limit %s for this %s is reached.","Sie können nicht mit der Bestellung fortfahren da Ihr Bestelllimit %s für den Zeitraum %s erreicht ist."
"You can continue with this order if your cart total is maximum upto %s","Sie können nicht mit der Bestellung fortfahren wenn Ihre Gesamtsumme größer als %s ist"