"STATUS_BEGIN","Comienzo"
"STATUS_PROPOSAL_BEGIN","Proposal created, not sent"
"STATUS_REQUEST","Solicitud"
"STATUS_REQUEST_EXPIRED","Solicitud vencida"
"STATUS_REJECTED","Borrada"
"STATUS_CANCELED","Propuesta cancelada"
"STATUS_PROPOSAL","Propuesta enviada"
"STATUS_PROPOSAL_EXPIRED","Propuesta vencida"
"STATUS_AUTO_PROPOSAL","Auto propuesta enviada"
"STATUS_DENIED","Propuesta rechazada"
"STATUS_CONFIRMED","Propuesta acceptada"
"STATUS_ORDERED","Pedido"
"STATUS_PROPOSAL_SAVED","Propuesta grabada"
"Owner price","Propuesta de precios"
"Information","Información"
"Quote view","Vista de presupuesto"
"Optional Information","Información opcional"
"Save Quote","Grabar presupuesto"
"Cancel Quote","Cancelar presupuesto"
"Quote #","Presupuesto #"
"Created On","Creado"
"First Name","Nombre"
"Last Name","Apellido"
"Email","Correo electrónico"
"Country","País"
"Country","País"
"City","Ciudad"
"Status","Estado"
"Action","Acción"
"View","Vista"
"Delete","Borrar"
"Are you sure?","¿Está seguro?"
"Change status","Cambiar el estado"
"Status","Estado"
"Quotations","Presupuestos"
"Items Manager","Organizador de artículos"
"Item Manager","Organizador de artículos"
"Item does not exist","El artículo no existe"
"Quote was successfully saved","La solicitud de presupuesto ha sido correctamente guardada"
"Unable to find item to save","Imposible encontrar artículo para ser grabado"
"Quote was successfully canceled","La solicitud de presupuesto ha sido correctamente cancelada"
"Please select item(s)","Por favor, seleccione el/los artículo(s)"
"Quote Proposal","Propuesta de presupuesto"
"Log in and <a href='%s'>click on to View Quote.</a>","Acceda y <a href='%s'>haga click en ver presupuesto.</a>"
"Thanks for your Quote request.","Gracias por su solicitud de presupuesto."
"Quote information is avaliable by link below","La información de la solicitud de presupuesto está disponible en el siguiente enlace"
"Unable to send email.","Imposible enviar el correo electrónico."
"Quote request information","Observaciones generales"
"Quote request information","Observaciones generales"
"Product name","Nombre del producto"
"Sku","SKU"
"SKU","SKU"
"Price","Precio"
"Requested information","Información requerida"
"Comment with Product","Comentarios al producto"
"Qty","Cantidad"
"Allowed to Quote Mode","Permitir solicitudes de presupuesto"
"Make shipping proposal?","¿Hacer propuesta de envío?"
"Price","Precio"
"Product Information","Información de producto"
"Shipping information","Información de envío"
"Quote_Proposal","Propuesta de presupuesto"
"Price_proposal_%s","Propuesta de precios_%s"
"Date of Proposal","Fecha de la propuesta"
"Product","Producto"
"Price","Precio"
"Price proposal","Propuesta de precios"
"Price Proposal","Propuesta de precios"
"QTY","CANTIDAD"
"Tax","Impuesto"
"Subtotal","Subtotal"
"Last update","Última actualización"
"Add Quote","Añadir prespuesto"
"View Quote","Ver presupuesto"
"Create New Quote","Crear nuevo presupuesto"
"Add Selected Product(s) to Advanced Quote","Añadir el/los producto(s) seleccionado(s) a la solicitud de presupuesto"
"Quote request","Solicitud de presupuesto"
"Quote # %s | Quote Date %s","Solicitud de presupuesto # %s | Fecha de solicitud de presupuesto %s"
"Quote","Solicitud de presupuesto"
"Quote Status","Estado de la solicitud de presupuesto"
"RFQ From","RFQ From"
"Customer Name","Nombre del cliente"
"Customer Group","Grupo del cliente"
"Shipping address","Dirección de envío"
"Quote #","Solicitud de presupuesto #"
"Advanced quote","Solicitud de presupuesto"
"Configuration","Configuración"
"General","General"
"Expiration time for quote request","Vencimiento de la solicitud de presupuesto"
"Expiration time for quote proposal","Vencimiento de la propuesta de presupuesto"
"Set standard (fixed) remark with proposal","Establecer anotación estándar (fija) con la propuesta"
"Add remark that appears in new proposal email and in the quote proposal PDF", "Añadir un comentario que aparezca en el correo elecrónico de la nueva propuesta o en el PDF de la propuesta de presupuesto "
"Quote number format","Formato de número de presupuesto"
"Default Quote Prefix","Prefijo de presupuesto por defecto"
"Default Starting Number","Número de comienzo por defecto"
"Default Increment","Incremento por defecto"
"Number Length","Longitud de número"
"Desired number length without the prefix and the date. Set to 0 to not add leading zeros to doc number.","Longitud de número deseada sin el prefijo y la fecha. Poner 0 para no añadir ceros por delante al número de documento."
"Emails for quotes","Correos electrónicos para solicitudes de presupuesto"
"Enabled","Permitido"
"Email sender","Emisor del correo electrónico"
"New account Template","Plantilla de nueva cuenta"
"Select email to be send","Seleccionar correo electrónico para ser enviado"
"New request Template","Plantilla de nueva solicitud"
"New proposal Template","Plantilla de nueva propuesta"
"Enable / disable quote relates emails","Permitir / no permitir correos electrónicos relacionados con presupuestos"
"Separate by ","Separar por "
"Request cancelled Template","Plantilla de solicitud cancelada"
"Attach PDF file with proposal","Adjuntar fichero PDF con propuesta"
"Send Quote email copy to","Enviar copia del correo electrónico del presupuesto a"
"Default password for new user account","Contraseña por defecto para nuevo usuario de cuenta"
"Password for new account created during quote request","Contraseña para nueva cuenta generada durante la solicitud de presupuesto"
"Advanced quote request","Solicitud de presupuesto"
"Advanced quote proposal","Propuesta de precios"
"Advanced quote cancel","Cancelar solicitud de presupuesto"
"Advanced quote new account","Nueva cuenta para solicitud de presupuesto"
"Email was sent to client","El correo electrónico fue enviado al cliente"
"Submit Quote","Enviar el presupuesto"
"Use Store settings","Utilizar los ajustes de la tienda"
"Per Item","Precio por artículos"
"Fixed price per Order","Precio fijo por pedido"
"Cart2Quote","Cart2Quote"
"Request for Quote","Solicitud de presupuesto"
"ref #","referencia #"
"Original Price","Precio original"
"Proposal valid until","Validez de la propuesta hasta"
"Atr. nr.","Sku"
"TAX","IMPUESTO",
"Product name","Nombre del producto"
"ship to:","enviar a:"
"Shipping & Handling price per Item","Gastos de envío y manipulación por artículo"
"Fixed Shipping & Handling price","Precio fijo de envío y manipulación"
"Shipping & Handling price varies","Gastos de envío y manipulación variables"
"select required qty and check out online","Seleccionar cantidad requerida y realizar el pago online"
"to see applicable price**","para ver precio aplicable**"
"%s days","%s días"
"(excl. TAX)","(IMPUESTOS excluidos)"
"Maximum characters","Caracteres máximos"
"The Cart2Quote template files are disabled.","Los ficheros de plantilla Cart2Quote están deshabilitados."
"For front-end visibility of this module please switch Use Cart2Quote templates to Yes or adjust your custom theme files.","Para mostrar el módulo en el front-end, cambie por favor 'Use Cart2Quote templates' a 'Sí' o modifique los ficheros de su plantilla propia."
"File upload","Carga de fichero"
"Title","Título"
"File","Fichero"
"Url","Url"
"Add product short description text to PDF","Añadir breve descripción del producto a PDF"
"Enable standard document","Permitir documento estándar"
"Upload any file as default attachment to the proposal email (i.e. Terms and Conditions) Note some providers limit the size of emails.","Cargar fichero como anexo al correo electrónico de la propuesta (por ejemplo, términos y condiciones) Tenga en cuenta que en ocasiones el tamaño de los correos electrónicos es limitado."
"Use Cart2Quote template files","Utilice los ficheros de plantilla Cart2Quote"
"If set to No, you have to manually copy the Cart2Quote template information to you own template files to enable front-end functionality.","Si está puesto a No, tendrá que copiar manualmente la información de la plantilla Cart2Quote a sus propios ficheros de plantilla para permitir la funcionalidad del front-end."
"Enable PDF proposal","Permitir propuesta PDF"
"Customer not recognized for new quote","Cliente no reconocido para nuevo presupuesto"
"There was an error, because the customer address was  undefined","Había un error debido a que la dirección del cliente no estaba definida"
"Quoation had error, because products quantity weren't defined","Error en el presupuesto, debido a que las cantidades de productos no estaban definidas"
"Create Order","Generar pedido"
"Customer's email was undefined","El correo electrónico del cliente no estaba definido"
"exclude from order","no incluido en el pedido" 
"To create an order or to add products, save the quotation first","Para crear un pedido y añadir productos, grabe previamente el presupuesto"
"Use checkout url after confirmation quote proposal","Checkout url a utilizar después de confirmar una propuesta de presupuesto"
"Checkout onepage url","Checkout onepage url"
"List/Grid page activation","Activación de Listado/Grid de productos"
"Detail page activation","Activación de la página de detalle"
"Enable / disable frontend layout update","Permitir / No permitir la actualización del layout del frontend"
"Duplicate value entered","El valor introducido está duplicado"
"First save this Quotation","Grabe primero este presupuesto"
"Select one Qty per product. (When editing this product you will be able to re-enter the extra tiers in this screen.)","Seleccione una cantidad por producto. (cuando se edite este producto podrá introducir rangos extra en esta pantalla.)"
"You cannot delete this Qty","Usted no puede borrar esta cantidad"
"Create this customer first via the Manage Customers section","Cree primero este cliente en la sección Administrar Clientes"
"Add","Añadir"
"Add new Qty","Añadir nueva cantidad"
"Minimum of one Qty is required","Se requiere una cantidad mínima"
"Total price","Precio total"
"Disable account check","Desactivar verificación de cuenta de usuario"
"Tier/Qty","Rango/Cantidad"
"New quotes can be submited by existing accounts without having to login first","Se pueden enviar nuevos presupuestos a través de cuentas ya existentes sin necesidad de acceder previamente"
"Auto submit proposal","Auto envío de propuesta"
"An automatic price proposal is sent, based on the standard (tier) prices. Select No if you choose to manually create custom price proposals.","Propuesta de precios automática enviada, basada en precios estándares (rango). Seleccione No si usted ha elegido crear manualmente propuestas de precios de clientes."
"Assigned to","Asignado a"
"Linked Quote Request","Solicitud de presupuesto enlazada" 
"Linked Orders","Pedidos enlazados"
"Order number","Número de pedido"
"Quotation","Presupuesto"
"Enable / disable advanced quote extension","Permitir / no permitir la extensión de presupuesto avanzada"
"in days","en días"
"We trust that you will find out quote satisfactory and look forward to working with you. Please, contact us should yo have any questions at all.","Confiamos en que haya encontrado satisfactorio el presupuesto, estaríamos encantados de trabajar con usted. Por favor, pongáse en contacto con nosotros, si tiene alguna pregunta."
"After adding a product redirect to quotation","Después de añadir un producto redireccionar al presupuesto"
"Attachments","Anexos"
"Quote Form","Formulario de presupuesto"
"Enable Newsletter Signup","Permitir alta en newsletter"
"Require shipping details","Requerir detalles de envío"
"Front-end visibility","Visibilidad del frontend"
"Use Cart2Quote template files / enable front-end functionality","Usar ficheros de plantillas Cart2Quote / permitir funcionalidad del frontend"
"Enable / disable frontend layout update for the product page","Permitir / no permitir la presentación del frontend actualizada para la página del producto"
"Enable / disable frontend layout update for the category view","Permitir / no permitir la presentación del frontend actualizada para la vista de la categoría"
"Enables Ajax popup when adding product instead of going to the quotation list","Se permite el Ajax popup cuando se añade el producto en lugar de ir a la vista de presupuesto"
"For multiple domains use a semicolon “;” to seperate the license-keys.<br />To upgrade or to buy a licence visit <a href="http://www.cart2quote.com">cart2quote.com</a>","Para dominios múltiples, utilice un punto y coma “;” para separar las claves de licencia.<br />Para ampliar o comprar una licencia, visite <a href="http://www.cart2quote.com">cart2quote.com</a>"
"Current numeral value","Valor numeral actual"
"Pad Length","Longitud de relleno"
"Request reject Template","Plantilla de solicitud rechazada"
"Expire Proposal Template","Plantilla de propuesta vencida"
"Separate by ";"","Separar por ";""
"Use Ajax Add to Quote","Utilice Ajax para añadir al presupuesto"
"Licence key","Clave de licencia"
