"%s days","%s dias"
"Access denied!","Acesso negado!"
"Account Information","Informações da sua conta"
"Action is blocked in quote confirmation mode","Essa ação foi bloqueada na modo confirmação da cotação"
"Add to Cart","Adicionar ao Carrinho"
"Add to Quote","Cotar"
"Address","Endereço"
"All items were moved to cart successfully.","Todos produtos foram enviados para o carrinho de compra com sucesso."
"Allowed to Quote Mode","Cotação Autorizada"
"Atr. nr.","Atr. nr."
"Back to My Quotes","Voltar para minhas cotações"
"Be advised to enter your comments","Digite os seus comentários. Estas informações serão apagada caso você saia dessa tela sem enviar o pedido de cotação. Se você tiver uma conta, por favor acesse ."
"Billing address wasn't added","Seu endereço não foi adicionado"
"By deleting an item, you will create a new quote request. Do you want to do this?","Ao excluir um produto, você irá criar um novo pedido de cotação. Você quer fazer isso?"
"Can not add client note request to the product.","Não foi possível incluir uma observação do cliente ao produto."
"Can not add customer address.","Não foi possível incluir o endereço do cliente."
"Can not add one of the items to quote request.","Não foi possível incluir um dos produtos na quotação."
"Can't remove item","Não foi possível remover esse produto"
"Can't update quote list","Não foi possível atualizar a lista de cotação"
"Cancel","Cancelar"
"cart2quote cancel","cart2quote cancelar"
"cart2quote new account","cart2quote conta nova"
"cart2quote proposal","cart2quote proposta"
"cart2quote reject","cart2quote rejeitar"
"cart2quote request","cart2quote pedido novo"
"Checking..","Verificando…"
"City","Cidade"
"Company","Empresa"
"Confirm and CheckOut","Confirmar e finalizar"
"Continue","Continuar"
"Continue Shopping","Continue comprando"
"Country","País"
"Customer email already exists. You should login <a href=%s>here</a>","Esse email já existe. Clique  <a href=%s>aqui</a>para acessar sua conta."
"Date","Data"
"Date of Proposal","Data da proposta"
"Default Address","Endereço padrão"
"Do you have a general remark with your quote request?","Você tem algum comentário sobre seu pedido de cotação?"
"Edit Quote","Editar cotação"
"Edit Request","Editar cotação"
"Email Address","Endereço de email"
"Email already exists","Esse email já existe"
"Enter your destination to get a shipping quotation","Preencha o endereço para calcular o frete"
"Enter your destination to receive a shipping quotation.","Preencha seus dados para receber proposta de preço"
"Fax","Fax"
"First Name","Nome"
"Fixed Shipping & Handling price","Preço do frete & manuseio"
"Information by Quote request avaliable by link below","As informações da cotação está disponível no link abaixo"
"Item %s wasn't  moved to Shopping cart","Produto %s não foram inseridos no carrinho de compra"
"Item %s wasn't  removed from Quote mode","Produto %s não foram removidos da cotação"
"Item was deleted successfully.","Produto foi deletado com sucesso."
"Item was moved to cart successfully.","Produto foi inserido com sucesso ao carrinho de compra."
"Item was moved to quote successfully.","Produto foi inserido com sucesso na cotação."
"Item(s) were moved from Quote to Order mode successfully.","Produto(s) foi transferido da cotação para compra com sucesso."
"Items Quoted","Produtos requeridos"
"Last Name","Sobrenome"
"Log in and <a href='%s'>click on to View Quote.</a>","Acesse e <a href='%s'>clique em veja cotação.</a>"
"My Quote list","Minha lista de cotação"
"My quote request","Meu pedido de cotação"
"My quote request (%s item)","Meu pedido de cotação (%s produto)"
"My quote request (%s items)","Meu pedido de cotação (%s produtos)"
"My Quotes","Minhas Quotações"
"New Address","Novo endereço"
"No item in quote.","Não há nenhum produto(s) na sua cotação."
"No Items to display.","Não há produto"
"Original Price","Preço original"
"Owner price","Preço proposto"
"Please enter an valid email address","Por favor entre um endereço de email válido"
"Please select region, state or province","Por favor selecione estado"
"Please select required qty and check out online to see applicable price.","Por favor selecione a quantidade desejada, os custos de envio será exibido no processo de pagamento."
"Please specify product quantity.","Por favor, especificar a quantidade do produto."
"Price Proposal","Preço da proposta"
"Print Quote","Imprimir cotação"
"Product %s successfully added to Quote Request","Produto %s adicionados com sucesso no pedido de cotação"
"Product %s was deleted from your shopping cart","Produto %s removidos do seu carrinho de compra"
"Product Name","Nome do produto"
"Proposal valid until","Proposta válida até"
"Proposal Valid Until: %s","Propostas válida até: %s"
"Qquote cancel email was't sent to admin for quote #%s","O cancelamento não foi enviado para a administração da cotação #%s"
"Qquote proposal email was't sent to the client for quote #%s","A proposta não foi enviada para o cliente da cotação #%s"
"Qquote request email was't sent to admin for quote #%s","O email da solicitação não foi enviado para a administração da cotação #%s"
"Qty","Quant."
"Quotation # %s","Cotação # %s"
"Quotation #%s - Proposal","Proposta de cotação #%s"
"Quotation #%s was rejected","Cotação #%s foi rejeitada com sucesso"
"Quotation Date: %s","Data do pedido de cotação: %s"
"Quote","Pedido de cotação"
"Quote #","Cotação #"
"Quote #%s","Pedido de cotação #%s"
"Quote List","Lista de cotação"
"Quote list was updated successfully.","Lista de cotação atualizada com sucesso."
"Quote mode","Modo de cotação"
"Quote Proposal","Proposta de cotação"
"Quote Request in Process, wait for price proposal Shop owner","Pedido de cotação em progresso, por favor aguarde pela proposta."
"Quote request information","Informações do pedido de cotação"
"Quote shipping proposal from owner","Proposta de preço de frete"
"Quote Status","Andamento do pedido de cotação"
"Reject Proposal","Proposta rejeitada"
"Remark with Proposal","Comentário adicionados na proposta"
"Remove","Remover"
"Remove item","Remover produto"
"Request for Quote","Pedido de cotação"
"Request information","Coméntario do produto"
"Request quote","Enviar pedido de cotação"
"Requested information","Coméntario do produto"
"Required Fields","Campos obrigatórios"
"Resubmit Quote","Reenviar cotação"
"ship to:","endereço de envio:"
"Shipping & Handling price per product per Unit","Preço de envio e manuseio por produto"
"Shipping & Handling price varies.","Preços de envio e manuseio variavél."
"Shipping Address","Endereço de envio"
"Shipping details","Detalhes de envio"
"Shipping Method","Metódo de envio"
"State/Province","Estado"
"Status","Andamento"
"STATUS_BEGIN","Iniciando"
"STATUS_CANCELED","Proposta cancelada"
"STATUS_CONFIRMED","Proposta aceita"
"STATUS_ORDERED","Comprado"
"STATUS_DENIED","Proposta rejeitada"
"STATUS_PROPOSAL","Proposta enviada"
"STATUS_PROPOSAL_EXPIRED","Proposta expirada"
"STATUS_PROPOSAL_SAVED","Proposta salva"
"STATUS_AUTO_PROPOSAL","Proposta enviada"
"STATUS_REJECTED","Deletado"
"STATUS_REQUEST","Processando"
"STATUS_REQUEST_EXPIRED","Pedido expirado"
"Switch to Order mode","Mudar para modo de compra"
"Switch to Quote mode","Mudar para modo de cotação"
"TAX","Imposto"
"Telephone","Telefone"
"Thank you for your interest!","Obrigado pelo seu interesse!"
"Thanks for your Quote request.","Obrigado pelo seu pedido de cotação"
"The address was successfully saved","O endereço foi salvo com sucesso"
"There are <a href=%s><strong>%s items</strong></a> in your quote list.","Há <a href=%s><strong>%s produtos</strong></a> na sua lista de cotação."
"There is <a href=%s><strong>1 item</strong></a> in your quote list.","Há <a href=%s><strong>1 produto</strong></a> na sua lista de cotação."
"The following item will not be added to the quotation list if you continue:","Se você continuat o seguinte produto(s) irá ser adicionado na sua lista de cotação:"
"This order list contains items that cannot quoted.","Nessa compra tem produtos que não podem ser cotados."
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Para adicionar produto no seu pedido de cotação <a href='%s'>saia</a> do modo de confirmação de cotação."
"To add item to the Quote mode <a href='%s'>switch the shopping cart to Quote mode.</a>","Para adicionar produto no pedido de cotação <a href='%s'>mude carrinho de compra para modo de cotação.</a>"
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","Para adicionar produto no seu carrinho de compra <a href='%s'>saia</a> do modo de confirmação de cotação."
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","Para atualizar produto no carrinho de compra <a href='%s'>saia</a> do modo de confirmação de cotação."
"To add product to the Order mode <a href='%s'>switch the Shopping cart to Order mode.</a>","Para adicionar produto em modo de compra <a href='%s'>mude de carrinho de compra para modo de compra.</a>"
"TO:","Para:"
"Unable to send email.","Não foi possível enviar seu e-mail."
"Unit price","Preço unitário"
"Unknown exception","Exceção desconhecida"
"View Quote","Veja cotação"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","Você está em modo de confirmação de cotação, <a href='%s'>sair</a>."
"You have placed no quotes.","Não há solicitações de cotação ainda."
"You log out successfully from Quote confirmation mode.","Você saiu com sucesso do modo de confirmação de cotação."
"You will receive a quote confirmation email with a link to track progress.","Você receberá um email de confirmação do pedido de cotação com um link para acompanhar o progresso."
"You're welcome to place a new Request for Quote","Você é bem vindo a iniciar uma novo pedido"
"Your order list contains items that cannot quoted.","Sua lista de compra contém produtos que não poderão ser cotados."
"Your quote has been canceled","Seu pedido de cotação foi cancelado"
"Your quote has been received","Seu pedido de cotação foi recebida"
"Your quote list contains items that cannot ordered.","Seu pedido de cotação contém produtos que não poderão ser comprados."
"Your quote request has been received","Seu pedido de cotação foi recebido."
"Your quote request has been submitted successfully.","Seu pedido de cotação foi enviado com sucesso."
"Your shopping cart will be changed to Quote Request if you continue.","Se você continuar seu carrinho de compra será modificado para pedido de cotaçao."
"Zip/Postal Code","Cep"
"Add Qty","Acrescentar"
"enter your address","adicione seu endereço"
"enter your city","adicione cidade"
"enter your Zip","adicione cep"
"enter your state","adicione estado"
"Request a shipping quote","Requerir cotação de frete"
"Total price","Preço total"
"Move to Shopping cart","Mudar para carrinho de compra"
"Move to shopping cart?","Você quer mudar para o carrinho de compra?"
"This quote list contains items that cannot ordered.","Essa cotação contém produtos que não poderão ser comprados."
"This item will be removed from the list if you continue:","Se você continuar, o seguinte produto(s) será removido da lista:"
"Cancel Action","Cancelar"
"Continue Action","Continuar"
"Copy to Quotation","Copiar para cotação"
"Copy to Quotation?","Você quer copiar para cotação?"
"Copy to Quotation","Copiar para cotação"
"Cannot update the item.","Produto não pode ser atualizado."
"Quote item is not found.","Produto cotado não encontrado."
"Cannot configure product.","Produto não pode ser configurado."
"Edit","Editar"
"in process...","em progresso…"
"My Quote", "My Quote"
"My Quote (%s items)", "My Quote (%s items)"
"My Quote (%s item)", "My Quote (%s item)"
"Your quote request # is: %s.", "Your quote request # is: %s."
"Tier/Qty","Tier/Qty"
